pecha id,language,url
I4F956A6B,sa,https://github.com/OpenPecha/I4F956A6B
I43FC48CC,sa,https://github.com/OpenPecha/I43FC48CC
ID3368663,sa,https://github.com/OpenPecha/ID3368663
I3D532915,sa,https://github.com/OpenPecha/I3D532915
IA82C3A81,zh,https://github.com/OpenPecha/IA82C3A81
I6AB14996,zh,https://github.com/OpenPecha/I6AB14996
I8B535459,zh,https://github.com/OpenPecha/I8B535459
I4BBBF804,zh,https://github.com/OpenPecha/I4BBBF804
I18C9F495,zh,https://github.com/OpenPecha/I18C9F495
I38C1B183,zh,https://github.com/OpenPecha/I38C1B183
I5954D3E1,zh,https://github.com/OpenPecha/I5954D3E1
IF6B9A96F,bo,https://github.com/OpenPecha/IF6B9A96F
I779D42D7,bo,https://github.com/OpenPecha/I779D42D7
I5584F420,en,https://github.com/OpenPecha/I5584F420
IC04FC37D,en,https://github.com/OpenPecha/IC04FC37D
I4A3B2424,en,https://github.com/OpenPecha/I4A3B2424
